"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4577","0","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","3.385501","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","4.023468","0","4"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","3.778617","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","6.046961","0","6"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","4.624424","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","18","1","26.288305","0","25"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","6","1","6.312903","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","8.050233","0","5"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","26","4","1","36.804783","0","69"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","7","7","1","8.131213","0","7"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","5.116708","0","3"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","10","1","11.988401","0","10"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","5.160131","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","26","1","49.106167","0","41"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","14","1","23.023556","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","5.627482","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","35","11","1","39.814922","0","92"
"/Game/Scena/Teams_logos/Real_madrid/Red.Red","0","14","14","1","28.303244","0","17"
"/Game/Scena/Teams_logos/Real_madrid/White.White","0","14","14","1","23.932522","0","17"
"/Game/Scena/Teams_logos/Real_madrid/Gold.Gold","0","14","14","1","22.061588","0","23"
"/Game/Scena/Teams_logos/Real_madrid/Blue.Blue","0","14","14","1","20.482603","0","22"
